epoch,train_reconstruction,val_reconstruction,seconds,wall_minutes
0,0.5137406212091445,0.5711189341545105,107.91,1.8
1,0.3958664527535439,0.6062917089462281,107.36,3.59
2,0.3400691908597946,0.6088571667671203,105.25,5.35
