epoch,train_nll,val_nll
0,239.8338165283203,180.88861083984375
1,235.94688415527344,177.50811767578125
2,235.59146881103516,174.73556518554688
3,229.98804473876953,172.55091857910156
4,227.9518280029297,170.84512329101562
5,226.66858673095703,169.5108642578125
6,227.21951293945312,168.43780517578125
7,222.7657012939453,167.5288848876953
8,221.992919921875,166.82113647460938
9,221.66954040527344,166.26058959960938
10,222.3278045654297,165.93478393554688
11,221.97840881347656,165.6620330810547
12,221.91729736328125,165.3283233642578
13,218.07803344726562,165.02076721191406
14,222.4396209716797,164.8480987548828
15,218.87755584716797,164.6376190185547
16,220.35086822509766,164.38113403320312
17,219.4723129272461,164.23777770996094
18,216.54086303710938,164.11859130859375
19,216.20415496826172,164.03871154785156
20,216.60065460205078,163.9649200439453
21,217.1884307861328,163.85733032226562
22,217.13484954833984,163.81704711914062
23,218.04905700683594,163.81851196289062
24,219.13404846191406,163.67958068847656
25,216.19810485839844,163.6204071044922
26,216.51934051513672,163.51834106445312
27,216.2091293334961,163.5567169189453
28,216.14488220214844,163.45672607421875
29,214.8275909423828,163.47019958496094
30,216.30138397216797,163.49160766601562
31,214.52124786376953,163.4841766357422
32,213.2654266357422,163.45394897460938
33,215.91338348388672,163.47760009765625
34,212.9137191772461,163.49803161621094
35,213.92096710205078,163.44320678710938
36,214.39900970458984,163.5067138671875
37,217.73655700683594,163.40069580078125
38,212.20575714111328,163.39471435546875
39,215.62613677978516,163.45498657226562
40,215.7498779296875,163.56134033203125
41,212.8322982788086,163.52157592773438
42,212.2495574951172,163.6011962890625
43,214.43038177490234,163.58981323242188
44,216.05235290527344,163.71365356445312
45,213.19989013671875,163.54270935058594
46,211.04444885253906,163.68338012695312
47,212.805419921875,163.67327880859375
48,211.78124237060547,163.55426025390625
49,213.1595687866211,163.69638061523438
