TIC,split,sector,camera,ccd,detector_x,detector_y,physics_nll,instrument_nll,physics_percentile,instrument_percentile,physics_rank,instrument_rank,physics_rank_all,instrument_rank_all,classification,physics_umap_1,physics_umap_2,instrument_umap_1,instrument_umap_2
261257606,train,1,4,2,2081.5504758429315,42.74645435395025,262.1126,402.06573,0.73875,0.9475,,,286,44,typical,11.587746,5.2618527,0.7611141,0.49737108
261257613,train,1,4,2,2078.4465136674444,35.39076747213935,178.32805,328.21707,0.245,0.90375,,,776,82,typical,11.098515,5.0573115,1.0717328,1.0582465
261257608,train,1,4,2,2074.1713985771403,34.566093732538405,197.64522,306.1809,0.365,0.88125,,,659,104,typical,11.21177,5.1806583,1.068437,1.1006064
261239161,train,1,4,2,2069.6571255449508,32.89928159404311,216.93048,310.1857,0.48875,0.8925,,,531,95,typical,11.2146015,5.265356,0.90241426,1.0523407
261257596,train,1,4,2,2070.877860710327,36.392188837064765,215.6481,326.7881,0.4775,0.90125,,,542,84,typical,11.433877,5.368983,0.9220934,1.0130645
261260240,train,1,4,2,2087.420348868094,46.87487991827386,279.5992,517.63336,0.80375,0.98,,,219,17,instrument,11.618323,5.2956614,0.6074676,0.2946813
261260232,train,1,4,2,2083.3158513363855,49.0429279133771,645.24243,508.43726,0.99,0.9775,,,11,19,both,11.86512,5.390675,0.6410252,0.3158861
261260230,train,1,4,2,2082.8552905644897,52.34951356188683,518.14606,488.49258,0.97875,0.97625,,,22,20,both,11.944838,5.4551454,0.62707597,0.29831755
261260227,train,1,4,2,2078.1402957305163,48.670986581605526,550.65845,547.7441,0.98625,0.98875,,,15,10,both,11.938408,5.4653316,0.6523412,0.31404215
261257592,train,1,4,2,2076.7822086617025,46.69133921751675,311.91772,552.0675,0.8875,0.99125,,,130,8,instrument,11.701556,5.428568,0.6376342,0.29527125
261260225,train,1,4,2,2083.4890410405324,54.89140825742045,253.5689,551.65375,0.69125,0.99,,,329,9,instrument,11.842342,5.6210365,0.61238015,0.26335078
261257561,train,1,4,2,2065.847371935346,56.63449275152647,174.5927,105.88546,0.21875,0.12625,,,798,846,typical,-0.08344081,7.063882,-1.4276158,7.3589
261257591,train,1,4,2,2074.3565481269898,44.34469616373207,306.71198,293.94754,0.875,0.8625,,,142,122,typical,11.656194,5.37092,0.58830893,0.5563755
261257582,train,1,4,2,2067.29945251996,46.40656034052478,269.29248,212.74548,0.765,0.595,,,260,380,typical,11.319505,5.988325,0.3665812,0.64753205
261239130,train,1,4,2,2062.9687326069647,43.423351576115,235.17618,181.93947,0.6,0.425,,,422,539,typical,11.303451,5.9844866,0.22169963,0.8215864
261257572,train,1,4,2,2062.9840688911904,47.30676776828037,239.78383,135.78848,0.6275,0.23375,,,394,737,typical,11.361241,6.037605,-1.4005405,7.053699
261257555,train,1,4,2,2058.7753809242377,52.56527966995794,163.56866,112.916405,0.1425,0.14625,,,867,822,typical,-0.770686,8.653877,-1.5173491,7.1879954
261257557,train,1,4,2,2061.4725672494906,53.084760323563046,272.3942,102.82985,0.78625,0.11125,,,239,860,typical,-2.2940464,9.252592,-1.4128214,7.138626
261239110,train,1,4,2,2054.5325575782017,49.87201194050261,345.58627,118.81529,0.93,0.17,,,77,800,typical,-2.5205145,9.345874,-1.6771467,7.288961
261239104,train,1,4,2,2049.957726565487,52.939664452021624,177.12424,159.41982,0.2375,0.3375,,,783,627,typical,-2.212676,9.622256,-1.9738712,7.451282
261239153,train,1,4,2,2065.6118575427768,33.32094064119222,262.28326,219.26976,0.74,0.62375,,,285,352,typical,11.456081,5.6012893,0.7850496,1.1199096
261239154,train,1,4,2,2066.914815934205,34.54276436576624,217.11186,228.49287,0.49375,0.6675,,,527,311,typical,11.269645,5.431816,0.73182636,1.1368226
261236492,train,1,4,2,2052.434133629008,31.166734572846373,207.8012,142.18462,0.435,0.26125,,,589,705,typical,11.041462,6.172055,0.041413523,1.4141595
