experiment,TIC,recon_smooth_l1,residual_rms,corr_correction_common,corr_physics_common,rms_physics_minus_cleaned,physics_rms,instrument_rms
supervised,261236552,0.17006318271160126,0.5957440733909607,0.9543230533599854,0.5854872465133667,0.5957440733909607,0.5582377314567566,1.0207982063293457
supervised,261204434,0.2654379904270172,0.7841290831565857,0.6879537105560303,-0.3933744430541992,0.7841290831565857,0.6273012757301331,0.47212836146354675
supervised,261257622,0.06998346000909805,0.3768119513988495,0.9622097611427307,0.662278413772583,0.3768119513988495,0.46678823232650757,0.8838106989860535
supervised,261257557,0.13880690932273865,0.539019763469696,0.6453824639320374,0.11164958029985428,0.539019763469696,0.5535168051719666,0.4771502614021301
supervised,261239098,0.218759223818779,0.6935631632804871,0.761881947517395,0.30607736110687256,0.6935631632804871,0.47084495425224304,0.5032371282577515
supervised,261239083,0.14401870965957642,0.5469158887863159,0.957080602645874,0.08586874604225159,0.5469158887863159,0.9134588837623596,0.9788354635238647
supervised,261204363,0.06554187834262848,0.365779310464859,0.9525191783905029,0.3605959117412567,0.3657792806625366,0.37721437215805054,0.7678346037864685
supervised,261156482,0.06916594505310059,0.3724253475666046,0.8828959465026855,0.5054745674133301,0.3724253475666046,0.5043581128120422,0.7844793796539307
supervised,261204324,0.1296340525150299,0.5264792442321777,0.9004709720611572,0.5140300989151001,0.5264792442321777,0.7763979434967041,0.8051372766494751
supervised,392025957,0.2574734091758728,0.7365062832832336,0.9414803981781006,0.7343927621841431,0.7365062832832336,1.0229123830795288,0.9230015873908997
reconstruction_only,261236552,0.16958411037921906,0.594369113445282,0.7033131122589111,0.6180670261383057,0.594369113445282,0.8503955602645874,0.6890798211097717
reconstruction_only,261204434,0.21190054714679718,0.6627669334411621,0.7109659910202026,-0.623048722743988,0.6627669334411621,1.0522704124450684,0.49753811955451965
reconstruction_only,261257622,0.07486648112535477,0.389474093914032,0.6350294351577759,0.7877082824707031,0.389474093914032,0.7687824964523315,0.5770235657691956
reconstruction_only,261257557,0.1893755942583084,0.6621457934379578,0.6424553394317627,-0.3365888297557831,0.6621457934379578,0.7023904323577881,0.472585529088974
reconstruction_only,261239098,0.1821196973323822,0.6231632232666016,0.6979684829711914,0.12827298045158386,0.6231632232666016,0.838582456111908,0.487678587436676
reconstruction_only,261239083,0.14231865108013153,0.5452521443367004,0.7658551335334778,0.3195611238479614,0.5452521443367004,0.9572479724884033,0.7535778880119324
reconstruction_only,261204363,0.04397476837038994,0.29657429456710815,0.6552255749702454,0.4272218942642212,0.29657429456710815,0.9116162657737732,0.5554752349853516
reconstruction_only,261156482,0.062238242477178574,0.35321691632270813,0.8706969618797302,0.24407276511192322,0.35321691632270813,0.883894145488739,0.7136978507041931
reconstruction_only,261204324,0.1922226846218109,0.7010192275047302,0.8325596451759338,0.2254067063331604,0.7010192275047302,0.95758056640625,0.590715765953064
reconstruction_only,392025957,0.18802779912948608,0.6316866278648376,0.7792541980743408,0.8048717975616455,0.6316866278648376,1.2152879238128662,0.5524640083312988
