epoch,train_reconstruction,val_reconstruction,val_visible_reconstruction,seconds,wall_minutes
0,0.3099199287593365,0.21545447111129762,0.2115234524011612,41.75,0.7
1,0.16713341046124697,0.17535406053066255,0.16113665997982024,41.49,1.39
2,0.13680232018232347,0.16013689041137696,0.15308606922626494,41.61,2.08
3,0.11983680259436369,0.13320152759552,0.1299024283885956,40.86,2.76
4,0.11454180888831615,0.13146130740642548,0.12652411162853242,40.88,3.45
5,0.09794062087312341,0.10869912058115005,0.10580039024353027,43.44,4.17
6,0.09474859116598963,0.1039816603064537,0.09943556189537048,41.52,4.87
7,0.077142524253577,0.1120098814368248,0.10557696223258972,41.19,5.55
8,0.0733966444619,0.09940293729305268,0.09223578125238419,41.23,6.24
9,0.07720322646200657,0.11075814813375473,0.0984922006726265,41.64,6.94
10,0.07031221194192767,0.11305992007255554,0.10709988623857498,42.3,7.64
11,0.06990197263658046,0.11733054518699645,0.10863596498966217,43.62,8.37
12,0.0662423494271934,0.1016531839966774,0.09161838740110398,42.52,9.08
