TIC,split,sector,camera,ccd,detector_x,detector_y,valid_cadences,physics_umap_1,physics_umap_2,instrument_umap_1,instrument_umap_2
261257641,train,1,4,2,2090.1142504650816,25.40956745943603,960,9.014037,4.764555,1.9815993,2.1670935
261257636,train,1,4,2,2085.603172609887,24.875693456244832,960,9.329456,4.7100396,1.9987477,2.2108374
261239209,train,1,4,2,2086.745373611964,8.517532105975546,960,8.765237,4.8772917,2.19457,2.6693463
261236560,train,1,4,2,2078.360946531465,10.580442721077308,960,9.00863,4.8275003,2.1828072,2.694039
261239189,train,1,4,2,2078.962571846225,19.48958919178759,960,9.312522,4.520693,2.076172,2.3779218
261206882,train,1,4,2,2054.1073391625596,12.730848381844822,960,11.427799,5.3413925,0.98054194,0.97187036
261236510,train,1,4,2,2056.661217866871,18.811124310047937,960,11.303326,5.339893,0.95287263,1.0567877
261236508,train,1,4,2,2056.798403637491,21.619540854471108,960,11.222617,5.45924,0.75289834,1.1005273
261236503,train,1,4,2,2052.8421383142722,23.5665228106292,960,11.196105,5.5285826,0.40719476,1.1393468
261236501,train,1,4,2,2051.547230956947,22.292711021901574,960,11.305822,5.8509655,0.5661631,1.1359025
261206863,train,1,4,2,2048.485394242196,20.57109517172434,960,11.22285,5.925557,0.43769908,1.1382797
261206864,train,1,4,2,2048.2986491899237,19.746044312683125,960,11.27577,5.7595835,0.40702745,1.1213351
261206892,train,1,4,2,2053.599078143806,6.457267041456532,960,11.181449,5.1226373,1.0479562,0.90783703
261206879,train,1,4,2,2047.0958545856804,6.48526656791687,960,11.570975,5.269145,0.8291715,0.6780824
261206869,train,1,4,2,2045.190469998854,11.019542650242412,960,11.550818,5.377823,0.7216037,0.5653422
261204469,train,1,4,2,2042.9107520017124,8.464437913238962,960,11.664554,5.344764,0.7597036,0.49904343
261206875,train,1,4,2,2047.0684724673754,8.21057206438571,960,11.631869,5.283084,0.959767,0.84389824
261204456,train,1,4,2,2036.4411593673256,12.945280918011774,960,11.750305,5.614926,0.35220543,0.6223725
261206867,train,1,4,2,2048.9372587531493,16.074254994849223,960,11.327458,5.366588,0.6610655,0.9421414
261206859,train,1,4,2,2040.570884844528,16.15759420535453,960,11.6257715,5.706149,0.3153483,0.6238793
261206851,train,1,4,2,2036.1660613870647,16.209734432635265,960,11.717543,5.7139983,0.28187796,0.6758647
261204453,train,1,4,2,2028.5275341534305,7.082794482107353,960,2.9348307,5.665972,0.49181628,0.4983009
261204434,train,1,4,2,2020.2990830855122,15.063733300315823,960,-0.011234391,7.646895,7.060672,3.4967508
261204429,train,1,4,2,2017.8011371108948,15.014644590828146,960,8.701281,5.5155153,2.1264677,3.0647395
261156581,train,1,4,2,2019.3777274720514,4.446272686652469,960,0.5646909,6.1836786,2.0925224,2.859292
392026045,train,1,4,2,2004.6904785280815,5.275075740126533,960,-0.28263712,7.15361,0.9025917,8.528706
261156571,train,1,4,2,2013.533515680013,9.865916014963702,960,9.014866,4.710656,2.1131454,3.0367973
261156558,train,1,4,2,2005.3061438314658,9.149921461868601,960,-0.468783,7.3659515,0.8970166,8.54715
261156563,train,1,4,2,2007.8802457534061,10.016585372138787,960,6.546205,4.277401,0.8621753,8.548056
392026032,train,1,4,2,1995.06761889692,8.401568354244642,960,-0.44903418,7.3932676,0.978774,8.766223
392026025,train,1,4,2,1991.250334397826,10.190434028041516,960,-0.5261994,7.4573083,0.994762,8.778644
392026024,train,1,4,2,1987.5961470528453,5.86321762673732,960,-0.484101,7.4143715,0.9941052,8.78979
392026018,train,1,4,2,1986.1037086688048,8.200070670695425,960,0.9711567,9.696893,1.0056313,8.7481985
261257606,train,1,4,2,2081.5504758429315,42.74645435395025,960,11.587746,5.2618527,0.7611141,0.49737108
261257613,train,1,4,2,2078.4465136674444,35.39076747213935,960,11.098515,5.0573115,1.0717328,1.0582465
261257608,train,1,4,2,2074.1713985771403,34.566093732538405,960,11.21177,5.1806583,1.068437,1.1006064
261239161,train,1,4,2,2069.6571255449508,32.89928159404311,960,11.2146015,5.265356,0.90241426,1.0523407
261257596,train,1,4,2,2070.877860710327,36.392188837064765,960,11.433877,5.368983,0.9220934,1.0130645
261260240,train,1,4,2,2087.420348868094,46.87487991827386,960,11.618323,5.2956614,0.6074676,0.2946813
261260232,train,1,4,2,2083.3158513363855,49.0429279133771,960,11.86512,5.390675,0.6410252,0.3158861
261260230,train,1,4,2,2082.8552905644897,52.34951356188683,960,11.944838,5.4551454,0.62707597,0.29831755
261260227,train,1,4,2,2078.1402957305163,48.670986581605526,960,11.938408,5.4653316,0.6523412,0.31404215
261257592,train,1,4,2,2076.7822086617025,46.69133921751675,960,11.701556,5.428568,0.6376342,0.29527125
261260225,train,1,4,2,2083.4890410405324,54.89140825742045,960,11.842342,5.6210365,0.61238015,0.26335078
261257561,train,1,4,2,2065.847371935346,56.63449275152647,960,-0.08344081,7.063882,-1.4276158,7.3589
261257591,train,1,4,2,2074.3565481269898,44.34469616373207,960,11.656194,5.37092,0.58830893,0.5563755
261257582,train,1,4,2,2067.29945251996,46.40656034052478,960,11.319505,5.988325,0.3665812,0.64753205
261239130,train,1,4,2,2062.9687326069647,43.423351576115,960,11.303451,5.9844866,0.22169963,0.8215864
261257572,train,1,4,2,2062.9840688911904,47.30676776828037,960,11.361241,6.037605,-1.4005405,7.053699
261257555,train,1,4,2,2058.7753809242377,52.56527966995794,960,-0.770686,8.653877,-1.5173491,7.1879954
261257557,train,1,4,2,2061.4725672494906,53.084760323563046,960,-2.2940464,9.252592,-1.4128214,7.138626
261239110,train,1,4,2,2054.5325575782017,49.87201194050261,960,-2.5205145,9.345874,-1.6771467,7.288961
261239104,train,1,4,2,2049.957726565487,52.939664452021624,960,-2.212676,9.622256,-1.9738712,7.451282
261239153,train,1,4,2,2065.6118575427768,33.32094064119222,960,11.456081,5.6012893,0.7850496,1.1199096
261239154,train,1,4,2,2066.914815934205,34.54276436576624,960,11.269645,5.431816,0.73182636,1.1368226
261236492,train,1,4,2,2052.434133629008,31.166734572846373,960,11.041462,6.172055,0.041413523,1.4141595
261239137,train,1,4,2,2061.4198875670136,36.609307791106,960,2.78166,10.557524,0.3852179,1.1620489
261239128,train,1,4,2,2059.2739359738234,40.37831202939514,960,11.111365,6.129146,-0.091467276,1.4496548
261236491,train,1,4,2,2053.8839708575615,32.80784090628211,960,11.01675,6.195345,-0.00092799385,1.4249185
261239122,train,1,4,2,2053.0076281212678,38.83329036652416,960,10.997707,6.232391,-0.21254943,1.595518
261236498,train,1,4,2,2052.4830992492734,25.180529498878446,960,11.142625,5.574211,0.33094826,1.2036705
261206854,train,1,4,2,2044.1979018182858,23.640143497550753,960,-0.2115756,10.355219,-1.277522,7.1220765
261206849,train,1,4,2,2043.3825946918375,25.906343494103595,960,4.935206,5.3363895,-1.2651619,7.1576233
261206850,train,1,4,2,2043.9917924443348,25.358171956258474,960,4.560992,5.787927,-1.2485807,7.21411
261206848,train,1,4,2,2042.889542305559,26.003185774568976,960,4.8883176,5.3302155,-1.2724537,7.1691794
261206840,train,1,4,2,2038.9809440552015,27.001648576785904,960,-0.36269292,9.310477,-1.3669758,7.116445
261236490,train,1,4,2,2050.991005836033,31.835671402077033,960,11.001162,6.203843,-0.04149158,1.449674
261236483,train,1,4,2,2046.7725313431968,33.93129264924088,960,8.975386,6.828339,-0.23660584,1.6274809
261239118,train,1,4,2,2055.5099684714432,42.49773877879097,960,10.944529,6.2872314,-0.12137907,1.473622
261239106,train,1,4,2,2048.0041833495543,48.16689035478323,960,-2.5286512,9.426111,-1.6122437,7.2237034
261260206,train,1,4,2,2067.950501943972,60.219284971561386,960,3.3767393,5.3083124,-1.3859289,7.656517
261260200,train,1,4,2,2068.1186632339163,66.28511369785195,960,4.5285625,5.9439006,-1.3024554,7.76944
261260191,train,1,4,2,2060.2429376602922,64.69333163554177,960,-0.9039484,8.441596,-1.942254,7.6031
261260192,train,1,4,2,2062.3654544286833,66.32975121545711,960,0.9634849,10.044031,-1.4128016,7.730445
261257529,train,1,4,2,2054.4053108917187,69.90408883001275,960,-1.9271158,9.487203,-2.396803,7.820119
261257543,train,1,4,2,2051.361148616693,61.086581306256456,960,-2.0457585,9.595899,-2.3727257,7.695792
261257540,train,1,4,2,2049.638291700923,60.49145683475742,960,-1.9968978,9.577548,-2.4299827,7.513211
261257526,train,1,4,2,2050.728600202049,67.6489540643395,960,-1.4482565,9.880826,-2.3842728,7.8885856
261260175,train,1,4,2,2055.971290228932,75.48151066669746,960,-1.8152227,9.240049,-2.4255502,7.7726917
261260162,train,1,4,2,2049.368871116091,79.66432637434835,960,-1.8242207,9.29195,-2.489669,7.7598796
261257511,train,1,4,2,2039.0415101387255,70.30450568212956,960,3.905538,5.207385,-2.387487,7.2258096
261239073,train,1,4,2,2034.6166941937158,67.54245113942639,960,0.92746925,10.25531,-2.4122403,7.2185917
261257495,train,1,4,2,2031.2396003357428,76.16169055882123,960,-2.5150077,9.833876,-2.734853,7.220517
261239088,train,1,4,2,2037.7890524101413,59.95437927461679,960,4.505986,6.010844,-2.3992386,7.242873
261236426,train,1,4,2,2029.710385308482,53.55097072662051,960,-2.4739754,9.834772,-2.562643,7.466315
261239082,train,1,4,2,2031.9724368129664,56.89416326596088,960,-2.3469303,9.780923,-2.379862,7.2356625
261239081,train,1,4,2,2030.5989346610404,56.32565004049467,960,-2.362717,9.771172,-2.3631191,7.273584
261239083,train,1,4,2,2037.4707268534387,62.3132867426643,960,4.4262295,5.786298,-2.3835955,7.2706513
261236413,train,1,4,2,2025.9692174136787,58.23574812092738,960,-2.209604,9.705481,-2.6330824,7.4073896
261239067,train,1,4,2,2024.020367391116,62.59633067281076,960,-2.3191276,9.907612,-2.462375,8.109444
261236409,train,1,4,2,2020.011134802713,54.46572770911164,960,-1.6827303,9.861906,-2.4453564,7.9496317
261236408,train,1,4,2,2016.6868425280313,50.918571515101725,960,5.868356,8.894412,-2.3950753,8.024449
261236391,train,1,4,2,2018.6800914028909,63.25863002168763,960,-1.5507071,9.892285,-2.442882,8.091414
261239054,train,1,4,2,2021.9540347709303,69.7042384861343,960,-2.000061,9.906839,-2.43497,8.1700945
261239053,train,1,4,2,2021.1322642981102,69.99848919089163,960,-1.9104745,9.817712,-2.4634736,8.160018
261239045,train,1,4,2,2019.352864597961,70.63537136964298,960,-1.4133639,9.948316,-2.4355843,8.137284
261239044,train,1,4,2,2019.9812375097642,71.54851668091001,960,-1.8228532,9.903515,-2.4572954,8.122164
261236380,train,1,4,2,2014.3010096052153,68.76618681451748,960,-2.0925035,10.019331,-2.4218652,8.171895
261239028,train,1,4,2,2013.1284642963856,76.62282076017158,960,-1.8973186,9.949635,-2.416924,6.7618327
261236384,train,1,4,2,2016.488857470402,65.16974803184728,960,-1.1698201,10.382419,-2.4300377,8.136418
261236375,train,1,4,2,2005.619529763008,62.61308890367538,960,-1.838926,10.087605,-2.2182143,6.6738477
261206847,train,1,4,2,2038.7770580041033,22.12634538957326,960,-0.0777731,7.889267,-1.3150198,7.089827
261204442,train,1,4,2,2029.1583738653435,19.393232013911415,960,1.2866303,9.878308,-1.3783847,7.1316204
261204430,train,1,4,2,2022.1819414230517,19.501842272693168,960,4.7212777,5.437981,-1.2209116,7.855956
261204418,train,1,4,2,2016.6618196914221,24.112384395610306,960,8.393241,5.241691,0.20103326,4.4427123
261204415,train,1,4,2,2013.636964671207,23.40892646770431,960,7.8690033,5.249195,0.22268671,4.431588
261204396,train,1,4,2,2010.4181441273124,30.56483651546125,960,7.7788143,5.4970994,0.19106692,4.497012
261204392,train,1,4,2,2004.0200376207088,26.676860087098916,960,-1.0550596,9.730773,0.34101865,8.444415
261206807,train,1,4,2,2016.9934950435995,41.90692889994711,960,8.876381,6.037875,-2.1269054,7.4333673
261204383,train,1,4,2,2009.497393602916,38.88168165068392,960,4.5852246,5.84634,-0.33309534,8.631446
261204382,train,1,4,2,2008.641228459007,39.43766106335548,960,2.5662591,10.866182,-0.4416677,8.49167
