row,TIC,split,sector,camera,ccd,detector_x,detector_y,moment_nll,moment_percentile,moment_anomaly,physics_nll,instrument_nll,physics_percentile,instrument_percentile,classification
83,392026024,train,1,4,2,1987.5961470528453,5.86321762673732,365.72812,0.555,False,167.64613,198.07193,0.175,0.50625,typical
84,392026018,train,1,4,2,1986.1037086688048,8.200070670695425,443.4879,0.67,False,178.84875,208.76671,0.24875,0.57,typical
90,261257606,train,1,4,2,2081.5504758429315,42.74645435395025,636.7185,0.83375,False,262.1126,402.06573,0.73875,0.9475,typical
91,261257613,train,1,4,2,2078.4465136674444,35.39076747213935,613.337,0.8175,False,178.32805,328.21707,0.245,0.90375,typical
94,261257608,train,1,4,2,2074.1713985771403,34.566093732538405,584.7996,0.8,False,197.64522,306.1809,0.365,0.88125,typical
95,261239161,train,1,4,2,2069.6571255449508,32.89928159404311,545.7927,0.7775,False,216.93048,310.1857,0.48875,0.8925,typical
99,261257596,train,1,4,2,2070.877860710327,36.392188837064765,519.7704,0.75125,False,215.6481,326.7881,0.4775,0.90125,typical
103,261260240,train,1,4,2,2087.420348868094,46.87487991827386,620.1574,0.82,False,279.5992,517.63336,0.80375,0.98,instrument
104,261260232,train,1,4,2,2083.3158513363855,49.0429279133771,640.9857,0.83625,False,645.24243,508.43726,0.99,0.9775,both
105,261260230,train,1,4,2,2082.8552905644897,52.34951356188683,469.17245,0.7025,False,518.14606,488.49258,0.97875,0.97625,both
107,261260227,train,1,4,2,2078.1402957305163,48.670986581605526,438.6862,0.665,False,550.65845,547.7441,0.98625,0.98875,both
109,261257592,train,1,4,2,2076.7822086617025,46.69133921751675,436.55743,0.6575,False,311.91772,552.0675,0.8875,0.99125,instrument
111,261260225,train,1,4,2,2083.4890410405324,54.89140825742045,416.77274,0.62875,False,253.5689,551.65375,0.69125,0.99,instrument
115,261257561,train,1,4,2,2065.847371935346,56.63449275152647,261.6271,0.3425,False,174.5927,105.88546,0.21875,0.12625,typical
116,261257591,train,1,4,2,2074.3565481269898,44.34469616373207,297.99936,0.43125,False,306.71198,293.94754,0.875,0.8625,typical
118,261257582,train,1,4,2,2067.29945251996,46.40656034052478,268.30035,0.355,False,269.29248,212.74548,0.765,0.595,typical
120,261239130,train,1,4,2,2062.9687326069647,43.423351576115,223.05135,0.26,False,235.17618,181.93947,0.6,0.425,typical
121,261257572,train,1,4,2,2062.9840688911904,47.30676776828037,255.86926,0.3375,False,239.78383,135.78848,0.6275,0.23375,typical
123,261257555,train,1,4,2,2058.7753809242377,52.56527966995794,146.91727,0.07875,False,163.56866,112.916405,0.1425,0.14625,typical
125,261257557,train,1,4,2,2061.4725672494906,53.084760323563046,406.09964,0.61125,False,272.3942,102.82985,0.78625,0.11125,typical
126,261239110,train,1,4,2,2054.5325575782017,49.87201194050261,381.91302,0.5775,False,345.58627,118.81529,0.93,0.17,typical
131,261239104,train,1,4,2,2049.957726565487,52.939664452021624,85.498436,0.00375,False,177.12424,159.41982,0.2375,0.3375,typical
134,261239153,train,1,4,2,2065.6118575427768,33.32094064119222,458.2236,0.685,False,262.28326,219.26976,0.74,0.62375,typical
135,261239154,train,1,4,2,2066.914815934205,34.54276436576624,431.2437,0.64875,False,217.11186,228.49287,0.49375,0.6675,typical
138,261236492,train,1,4,2,2052.434133629008,31.166734572846373,235.45802,0.28625,False,207.8012,142.18462,0.435,0.26125,typical
139,261239137,train,1,4,2,2061.4198875670136,36.609307791106,232.41467,0.27875,False,297.64728,260.72308,0.85875,0.78625,typical
142,261239128,train,1,4,2,2059.2739359738234,40.37831202939514,215.9868,0.24,False,204.67981,207.47491,0.4175,0.56,typical
144,261236491,train,1,4,2,2053.8839708575615,32.80784090628211,310.30823,0.46,False,193.59618,218.03256,0.34,0.61375,typical
146,261239122,train,1,4,2,2053.0076281212678,38.83329036652416,215.1535,0.23875,False,202.15533,296.5937,0.3975,0.865,typical
149,261236498,train,1,4,2,2052.4830992492734,25.180529498878446,280.49182,0.38875,False,228.93391,252.24306,0.565,0.75875,typical
150,261206854,train,1,4,2,2044.1979018182858,23.640143497550753,201.8163,0.205,False,176.18594,103.19431,0.22875,0.1125,typical
151,261206849,train,1,4,2,2043.3825946918375,25.906343494103595,492.59222,0.71625,False,279.06,92.81307,0.80125,0.07875,typical
152,261206850,train,1,4,2,2043.9917924443348,25.358171956258474,481.5847,0.70875,False,527.96857,71.31865,0.9825,0.03625,physics
153,261206848,train,1,4,2,2042.889542305559,26.003185774568976,491.74387,0.715,False,279.05585,65.6923,0.8,0.02375,typical
157,261206840,train,1,4,2,2038.9809440552015,27.001648576785904,324.92657,0.50375,False,202.2076,133.80779,0.4,0.22875,typical
159,261236490,train,1,4,2,2050.991005836033,31.835671402077033,241.07805,0.30375,False,189.95613,144.06953,0.31875,0.26875,typical
161,261236483,train,1,4,2,2046.7725313431968,33.93129264924088,147.39697,0.08125,False,181.935,166.89256,0.27125,0.375,typical
168,261239118,train,1,4,2,2055.5099684714432,42.49773877879097,195.81554,0.1925,False,178.42238,220.12718,0.24625,0.63375,typical
