epoch,train_nll,val_nll
0,508.9360046386719,422.544677734375
1,492.0312194824219,417.3119201660156
2,480.38658142089844,413.2543029785156
3,478.1395721435547,409.96368408203125
4,483.2172393798828,407.3788757324219
5,472.9426574707031,405.2557678222656
6,480.0030517578125,403.4214172363281
7,473.67384338378906,401.82391357421875
8,473.5511016845703,400.5269470214844
9,464.3274841308594,399.513916015625
10,464.9444885253906,398.71343994140625
11,469.6305694580078,398.11016845703125
12,467.2163391113281,397.618896484375
13,464.1270446777344,397.2205810546875
14,456.3174743652344,396.8052673339844
15,468.8422393798828,396.4385070800781
16,466.7968292236328,396.1800842285156
17,465.7970886230469,395.8695373535156
18,459.9592742919922,395.575927734375
19,461.598388671875,395.422119140625
20,458.14495849609375,395.21875
21,466.9188995361328,395.07733154296875
22,458.3007507324219,394.94207763671875
23,465.9425964355469,394.7778015136719
24,464.3650360107422,394.7181701660156
25,462.1427001953125,394.6430358886719
26,467.0583190917969,394.5459289550781
27,457.37355041503906,394.4712219238281
28,455.7333526611328,394.3885192871094
29,467.9275207519531,394.31878662109375
30,452.1498565673828,394.2879333496094
31,462.9353485107422,394.2290344238281
32,457.8328094482422,394.17266845703125
33,462.0742492675781,394.1944580078125
34,455.87669372558594,394.1152648925781
35,454.6703338623047,394.0919494628906
36,455.9304656982422,394.1517333984375
37,444.66534423828125,394.0342712402344
38,452.1278381347656,394.1158447265625
39,466.26026916503906,394.0841369628906
40,455.18699645996094,394.05596923828125
41,460.4169006347656,394.1122741699219
42,458.17877197265625,394.1959228515625
43,455.5403289794922,394.0981140136719
44,453.1520080566406,394.16632080078125
45,445.7879943847656,394.20880126953125
46,450.845458984375,394.2839050292969
47,448.8801574707031,394.3046875
48,462.0423278808594,394.3038330078125
49,454.11228942871094,394.3626708984375
