TIC,physics_rms,instrument_rms,residual_rms,raw_rms,corr_instrument_peer_median,corr_instrument_raw,corr_physics_raw,max_abs_physics_minus_rawminus
261236552,0.8503955602645874,0.6890798211097717,0.594369113445282,1.029942274093628,0.7033130219415678,0.23136401176452637,0.9100658893585205,2.9598610401153564
261204434,1.0522704124450684,0.49753811955451965,0.6627669334411621,1.1741089820861816,0.7109660849979781,-0.16863152384757996,0.8165780305862427,2.0807242393493652
261257622,0.7687824964523315,0.5770235657691956,0.389474093914032,1.0583748817443848,0.635029425496431,0.5423451066017151,0.8276352882385254,2.1245288848876953
261257557,0.7023904323577881,0.472585529088974,0.6621457934379578,0.9870265126228333,0.6424553894261517,0.6272760629653931,0.45904749631881714,3.601417064666748
261239098,0.838582456111908,0.487678587436676,0.6231632232666016,1.2166792154312134,0.6979684194418856,0.4349595308303833,0.7326230406761169,2.2210114002227783
261239083,0.9572479724884033,0.7535778880119324,0.5452521443367004,1.1703524589538574,0.7658550786005341,0.4184349477291107,0.812565803527832,2.169078826904297
261204363,0.9116162657737732,0.5554752349853516,0.29657429456710815,0.8752998113632202,0.6552255615800091,0.23878750205039978,0.8219599723815918,1.0721322298049927
261156482,0.883894145488739,0.7136978507041931,0.35321691632270813,1.1061519384384155,0.8706970216215341,0.5244964957237244,0.7899419665336609,1.3879705667495728
261204324,0.95758056640625,0.590715765953064,0.7010192275047302,1.6449791193008423,0.8325596674712645,0.7988448739051819,0.7469903230667114,3.5147438049316406
392025957,1.2152879238128662,0.5524640083312988,0.6316866278648376,1.6630500555038452,0.7792542373851835,0.7187912464141846,0.9181100726127625,2.2125210762023926
