epoch,train_total,train_recon,train_instrument,train_leakage,val_total,val_recon,val_instrument,val_leakage,seconds
0,0.21872847988270222,0.15575769504066556,0.16314080874435605,0.44371167048957433,0.2407505266368389,0.19830800518393515,0.09497405653819442,0.37398011442273854,20.53
1,0.1173831969499588,0.06943443126510829,0.1236063291085884,0.3409436732530594,0.2776550488546491,0.2453326279297471,0.08275165413506329,0.2326901474967599,19.34
2,0.09184393074829131,0.051835945504717526,0.10975641296245157,0.25137763004750013,0.3072639940306544,0.27818749416619537,0.07934383586980402,0.18481082357466222,18.96
3,0.08116439110599458,0.041229099419433625,0.11214482714422047,0.23798169842921196,0.2989912636578083,0.2710274443030357,0.07265592464245856,0.19599673971533776,18.98
4,0.06704515570309014,0.03123437406611629,0.10350320821162314,0.1986995945451781,0.30705567356199026,0.2794181425124407,0.07450805883854628,0.18021029168739916,19.08
5,0.0644368190318346,0.02774662567535415,0.10650846541393548,0.20126154012978076,0.2987068651244044,0.27233571372926235,0.06740602306090296,0.19039295949041843,19.09
